Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.
1992,"17,451","27,489","31,505","30,682","29,089","22,469","20,942","27,338"
1993,"19,238","23,931","30,818","20,121","20,585","19,602","13,588","21,583"
1994,"21,735","24,872","31,586","27,292","26,232","22,907","19,739","27,610"
1995,"22,207","28,240","34,219","33,994","27,843","25,650","23,980","27,686"
1996,"27,886","29,676","39,336","36,331","29,728","26,749","22,684","29,080"
1997,"25,585","32,861","43,177","35,229","33,456","26,367","26,091","35,549"
1998,"28,822","37,956","41,338","41,087","35,814","29,181","27,895","36,174"
1999,"29,752","38,134","46,218","40,774","42,712","31,049","27,193","38,449"
2000,"25,307","38,959","44,944","43,635","28,363","26,933","24,480","34,670"
2001,"30,454","38,680","46,709","39,083","28,345","13,030","18,329","25,322"
2002,"17,176","20,668","28,815","21,253","19,887","17,218","16,621","21,093"
2003,"21,215","24,349","27,737","25,851","22,704","20,351","22,661","27,568"
2004,"30,988","35,631","44,290","33,514","26,802","19,793","24,860","33,162"
